model,task,categories,seq_len,run_id,folder_name,test_set,score_method,f1,precision,recall,accuracy,aupr,auroc,best_threshold,val_f1_tune,n_test_normal_balanced,n_test_ood_balanced,n_test_normal_full,n_test_ood_full,n_val_normal_balanced,n_val_ood_balanced,n_val_normal_full,n_val_ood_full,mad_event,mad_event_median,mad_latency,mad_latency_median
transformer,duration,7,512,382081,transformer_duration_cats7_seq512_382081,cpu,latency_loss,0.6532340380733546,0.5800344653801759,0.7475772909660454,0.6094353337835678,0.6579733530747696,0.6670605066310945,0.8494637229225852,0.6752393438288402,197044,190902,197044,190902,197476,197476,197476,646822,,,,
transformer,duration,7,512,382081,transformer_duration_cats7_seq512_382081,disk,latency_loss,0.5537704249926769,0.45699526519630257,0.7025439680731603,0.563160207837869,0.5954438014971082,0.6437279564636862,0.8494637229225852,0.6752393438288402,197044,123783,197044,123783,197476,197476,197476,646822,,,,
transformer,duration,7,512,382081,transformer_duration_cats7_seq512_382081,mem,latency_loss,0.7068815743594188,0.6292296099608884,0.8063974689714477,0.6491453661596361,0.7470213238270004,0.7234997077093658,0.8494637229225852,0.6752393438288402,197044,217461,197044,217461,197476,197476,197476,646822,,,,
transformer,duration,7,512,382081,transformer_duration_cats7_seq512_382081,net,latency_loss,0.6179617448127773,0.4914661994566715,0.832141726247021,0.6105535404510329,0.6180412320564491,0.7371914264121822,0.8494637229225852,0.6752393438288402,197044,120006,197044,120006,197476,197476,197476,646822,,,,
transformer,duration,9,512,382084,transformer_duration_cats9_seq512_382084,cpu,latency_loss,0.6585813713115117,0.5937567050211405,0.739295554787273,0.6228057513159048,0.6619434076706165,0.675895673587998,1.003610321969697,0.682492408708416,197044,190902,197044,190902,197476,197476,197476,646822,,,,
transformer,duration,9,512,382084,transformer_duration_cats9_seq512_382084,disk,latency_loss,0.5641160984256074,0.47271049369570084,0.6993448211789988,0.5830213791233282,0.612721538438981,0.6590615540057825,1.003610321969697,0.682492408708416,197044,123783,197044,123783,197476,197476,197476,646822,,,,
transformer,duration,9,512,382084,transformer_duration_cats9_seq512_382084,mem,latency_loss,0.711719011214198,0.6424238833383942,0.7977706347345042,0.6609473950857047,0.7463733556439623,0.7271154456709055,1.003610321969697,0.682492408708416,197044,217461,197044,217461,197476,197476,197476,646822,,,,
transformer,duration,9,512,382084,transformer_duration_cats9_seq512_382084,net,latency_loss,0.6298974485502983,0.5076582639908631,0.8296751829075213,0.6309667244914051,0.6200569556672418,0.7450677442486794,1.003610321969697,0.682492408708416,197044,120006,197044,120006,197476,197476,197476,646822,,,,
transformer,multitask,3,512,382060,transformer_multitask_cats3_seq512_382060,cpu,paper_mad_sum,0.6476053253668735,0.5588381793225121,0.7698976438172466,0.5876926170137081,0.6272656228184934,0.6468568355959375,-0.3878746813068856,0.6713836976869626,197044,190902,197044,190902,197476,197476,197476,646822,0.072265625,0.2314453125,0.115234375,0.396484375
transformer,multitask,3,512,382060,transformer_multitask_cats3_seq512_382060,disk,paper_mad_sum,0.5776917123106897,0.45636936109601367,0.7868770348109191,0.5561252637714407,0.6599417675576545,0.6973239662363715,-0.3878746813068856,0.6713836976869626,197044,123783,197044,123783,197476,197476,197476,646822,0.072265625,0.2314453125,0.115234375,0.396484375
